N,P,K,temperature,humidity,ph,rainfall,label
16.7,11.3,14.3,29.81,86.52,6.97,127.52,orange
24.9,16.1,34.3,21.91,88.04,5.63,35.11,pomegranate
17.1,63.7,19.5,20.24,22.56,6.12,77.62,kidneybeans
100.9,18.2,50.0,25.08,62.44,6.17,42.52,watermelon
22.7,49.5,24.4,29.71,82.22,7.21,63.76,mungbean
41.6,58.3,24.3,33.68,70.61,6.16,83.28,blackgram
82.9,49.0,39.0,22.05,79.93,6.51,225.24,rice
63.1,59.2,49.7,24.89,83.04,5.96,231.38,rice
101.4,59.9,23.7,24.38,73.86,6.07,74.25,cotton
122.4,41.2,24.8,28.37,76.19,5.73,91.41,cotton
35.4,74.5,22.6,20.63,33.09,6.55,136.83,pigeonpeas
15.0,14.4,23.1,29.97,90.15,6.2,106.45,orange
54.3,67.8,17.9,29.69,72.87,6.46,65.78,blackgram
26.4,70.2,16.7,25.18,70.8,5.63,53.91,lentil
98.5,93.7,53.4,29.33,75.78,5.64,119.57,banana
24.3,21.2,37.9,29.52,54.81,6.42,91.74,mango
87.3,37.3,23.5,22.46,64.61,6.63,101.23,maize
15.7,142.1,196.7,22.36,86.39,5.5,107.36,apple
10.8,10.2,41.9,21.34,86.31,5.85,104.94,pomegranate
29.0,23.1,32.9,28.41,45.01,6.72,63.5,mango
120.7,40.3,20.4,28.68,79.24,6.45,81.64,cotton
29.0,35.5,16.5,31.2,81.88,6.85,56.58,mungbean
32.4,71.2,17.8,20.19,52.26,6.4,117.94,pigeonpeas
32.8,72.0,75.8,17.68,21.88,6.14,62.85,chickpea
25.2,141.8,196.5,21.65,92.64,6.26,102.13,apple
113.1,16.7,25.4,20.74,55.39,6.82,185.53,coffee
33.4,77.1,17.0,26.23,54.54,6.52,140.82,pigeonpeas
81.8,39.5,38.5,27.66,72.92,6.63,179.65,jute
62.4,47.2,42.7,23.76,82.23,6.24,193.37,jute
71.0,43.8,37.2,25.93,76.96,6.66,150.78,jute
44.1,50.8,54.3,29.11,94.92,6.98,109.85,papaya
22.5,66.4,22.5,19.19,68.2,6.32,42.68,lentil
24.1,135.7,199.6,21.29,82.77,6.99,74.65,grapes
98.5,37.6,39.9,22.11,79.27,5.56,210.96,rice
20.3,24.6,11.3,31.01,86.26,6.59,125.54,orange
19.2,45.0,23.1,25.1,84.74,7.0,59.97,mungbean
29.0,28.0,28.5,34.78,51.09,6.96,74.94,mango
24.8,73.5,18.2,19.51,20.77,6.21,69.96,kidneybeans
26.7,143.3,193.7,20.77,81.37,6.82,60.11,grapes
19.7,36.4,22.7,29.91,79.97,7.01,49.9,mungbean
19.1,24.3,25.0,25.72,87.99,7.29,129.96,orange
32.6,66.4,21.7,29.72,35.94,5.53,177.91,pigeonpeas
101.0,80.8,51.2,25.45,80.04,5.74,124.44,banana
99.2,44.8,36.6,24.43,78.6,5.61,162.89,rice
23.9,57.6,17.2,25.27,51.27,5.87,105.77,pigeonpeas
20.5,24.3,38.0,20.8,94.54,6.46,57.36,pomegranate
90.3,27.9,31.8,18.04,58.03,6.19,181.22,coffee
96.3,13.9,45.4,29.08,87.3,6.15,34.81,muskmelon
32.2,74.4,23.5,26.82,66.46,6.25,81.2,blackgram
64.5,53.1,52.0,27.98,86.49,6.96,84.47,papaya
64.4,63.8,53.3,27.35,88.65,6.88,44.32,papaya
20.9,24.7,32.3,19.58,87.12,6.69,49.02,pomegranate
27.6,62.8,22.9,21.24,21.04,6.41,78.87,kidneybeans
22.5,65.0,91.0,18.63,20.11,7.47,84.64,chickpea
17.8,36.0,18.9,30.62,80.12,6.67,56.89,mungbean
28.8,57.2,21.3,30.66,76.04,6.5,47.84,mungbean
22.4,16.8,25.2,30.03,51.98,6.69,71.83,mango
36.8,70.8,20.3,19.62,51.2,5.68,133.72,pigeonpeas
107.8,20.8,45.7,30.75,89.93,6.85,34.01,muskmelon
23.8,27.2,39.8,30.89,45.47,6.7,84.18,mango
21.7,48.3,23.7,33.96,54.57,6.12,48.17,mothbeans
30.6,69.3,23.3,30.69,30.43,6.51,105.18,pigeonpeas
95.6,24.3,45.5,29.96,90.32,6.48,28.35,muskmelon
67.0,50.7,37.7,26.56,77.06,6.01,161.35,rice
20.6,10.1,37.8,18.26,90.69,6.88,107.63,pomegranate
100.0,16.8,48.4,29.86,92.6,6.85,39.59,muskmelon
36.5,73.7,19.4,26.55,35.61,6.51,117.93,pigeonpeas
23.3,127.2,204.1,23.05,94.73,5.55,108.55,apple
22.2,59.7,22.5,26.74,83.08,7.49,61.44,mungbean
64.5,50.1,40.4,25.41,82.8,6.78,205.19,rice
15.8,56.8,19.0,17.07,19.63,5.78,100.17,kidneybeans
26.6,134.4,200.4,23.7,92.12,5.98,121.39,apple
70.6,37.3,49.5,22.75,88.38,6.45,229.48,rice
29.2,22.3,30.1,36.24,45.24,6.37,81.96,mango
57.3,68.5,55.0,33.46,93.27,6.36,106.01,papaya
24.9,52.2,16.2,33.39,44.53,5.75,45.57,mothbeans
138.8,50.9,22.6,22.67,72.41,6.6,77.25,cotton
17.3,11.0,38.3,23.89,94.97,6.15,59.02,pomegranate
32.6,65.6,18.5,23.57,39.25,5.81,148.3,pigeonpeas
32.8,55.0,53.7,33.26,94.74,6.44,46.65,papaya
24.8,76.7,23.9,26.28,61.42,6.32,62.22,lentil
73.9,55.3,20.7,20.4,72.57,6.92,92.92,maize
32.7,56.0,78.0,24.89,24.62,6.01,98.07,chickpea
94.8,16.2,47.3,28.44,93.72,6.71,33.7,muskmelon
105.2,58.7,22.1,27.93,77.49,6.21,64.4,cotton
28.4,57.0,22.3,16.31,24.01,6.32,87.04,kidneybeans
36.4,80.0,76.0,24.82,18.48,7.74,91.3,chickpea
16.2,49.1,24.1,27.77,79.44,6.22,43.79,mungbean
119.4,16.1,29.3,20.43,54.97,6.38,190.91,coffee
110.1,27.5,33.6,22.66,62.73,6.3,159.13,coffee
14.0,16.6,21.9,28.1,86.11,6.94,105.6,orange
107.5,13.0,45.8,30.3,67.53,6.16,57.09,watermelon
16.4,21.4,15.6,24.44,92.29,6.63,129.44,orange
17.3,131.3,196.1,21.87,81.25,6.64,77.55,grapes
119.4,25.7,31.3,24.99,69.99,6.71,188.08,coffee
25.8,55.8,17.6,18.47,60.77,5.87,155.73,pigeonpeas
18.3,21.4,34.8,34.27,45.01,6.91,66.58,mango
18.7,138.3,196.6,21.19,89.56,5.59,123.96,apple
16.6,21.5,28.4,32.16,47.53,6.91,96.24,mango
15.7,23.7,39.2,20.88,94.34,5.57,50.77,pomegranate
96.2,25.7,37.1,22.53,60.13,6.03,153.47,coffee
20.1,69.8,16.9,22.64,59.93,5.81,107.12,pigeonpeas
104.1,19.0,25.8,22.09,51.05,6.55,165.36,coffee
24.8,136.3,204.3,15.03,81.24,6.93,78.64,grapes
132.2,53.4,24.3,25.57,72.6,5.57,69.86,cotton
11.7,18.6,42.9,21.34,94.95,6.52,40.56,pomegranate
40.9,60.4,59.7,24.34,87.12,6.47,146.55,papaya
22.9,125.7,191.8,21.45,87.55,6.16,128.99,apple
38.3,69.5,23.9,30.69,69.48,6.78,61.53,blackgram
36.0,75.1,23.2,31.06,49.05,5.8,161.68,pigeonpeas
90.5,14.7,53.2,28.43,61.76,6.29,45.96,watermelon
65.5,59.1,48.8,34.46,89.83,6.33,59.96,papaya
31.0,55.5,22.7,26.34,67.02,6.91,72.85,blackgram
28.2,130.8,196.2,15.36,82.49,6.55,71.18,grapes
23.7,70.5,22.8,24.33,72.52,5.58,62.43,lentil
87.8,42.3,33.5,21.1,78.75,6.32,221.46,rice
102.8,25.5,31.5,22.18,65.2,6.17,166.93,coffee
69.5,56.7,48.8,33.69,89.91,6.6,50.52,papaya
36.3,68.6,76.2,21.1,22.87,6.92,62.08,chickpea
115.4,28.8,31.7,23.36,64.84,6.7,194.53,coffee
81.7,44.3,42.0,25.38,86.72,6.68,184.23,jute
17.4,40.8,15.2,32.35,64.37,4.77,45.79,mothbeans
22.8,15.9,33.0,20.97,88.86,6.87,92.15,pomegranate
32.6,69.4,55.2,28.01,92.02,6.76,125.8,papaya
21.7,62.2,21.6,31.56,51.13,5.62,107.56,pigeonpeas
25.4,121.4,194.3,23.28,85.8,6.61,102.76,apple
25.1,61.5,18.5,21.42,20.03,5.97,104.51,kidneybeans
14.6,19.3,18.0,24.18,86.64,6.36,115.08,orange
26.3,49.4,24.0,32.17,58.93,4.61,40.17,mothbeans
81.9,50.8,43.0,21.57,85.68,5.86,182.54,rice
24.7,58.9,16.5,28.34,84.03,6.87,50.04,mungbean
93.6,24.1,52.6,25.66,60.07,6.81,53.91,watermelon
10.1,11.3,42.1,23.4,94.15,6.78,86.24,pomegranate
15.6,24.6,25.3,31.63,88.69,5.52,198.92,coconut
16.1,11.7,30.8,31.58,91.93,6.8,166.65,coconut
97.8,59.7,35.4,23.75,78.47,6.19,168.19,jute
23.4,14.0,36.2,24.29,93.96,6.53,99.42,pomegranate
29.8,66.4,21.9,15.98,21.4,5.53,85.27,kidneybeans
25.2,45.7,22.3,32.24,43.66,6.17,53.51,mothbeans
88.8,38.2,35.5,27.39,71.6,6.15,151.11,jute
24.3,60.0,19.0,15.28,21.33,6.04,71.39,kidneybeans
69.7,38.1,37.5,20.14,79.83,5.82,182.75,rice
26.0,60.8,23.1,23.3,63.16,5.86,58.84,lentil
54.9,53.9,57.7,28.44,92.26,6.1,83.56,papaya
20.3,24.2,34.0,23.68,85.55,6.31,40.29,pomegranate
19.1,15.8,18.4,27.77,86.66,6.6,110.3,orange
44.2,75.0,80.9,24.84,20.62,7.16,89.92,chickpea
63.6,41.8,42.7,27.26,85.58,6.63,175.7,jute
23.4,21.4,35.0,23.21,86.52,5.7,60.92,pomegranate
122.3,51.1,21.1,27.75,79.64,6.28,87.27,cotton
21.0,59.3,20.4,26.75,57.74,5.04,62.61,mothbeans
22.6,56.5,23.7,25.07,86.67,6.69,64.72,mungbean
20.2,136.4,200.6,20.86,81.79,6.58,66.85,grapes
24.5,43.9,16.5,29.18,87.22,6.57,43.31,mungbean
27.8,62.2,21.4,20.83,74.37,5.55,57.39,lentil
113.9,54.4,17.6,24.63,71.62,6.9,71.64,cotton
28.7,68.3,16.6,19.87,23.55,5.82,102.86,kidneybeans
27.0,21.2,28.5,31.06,53.26,5.84,80.98,mango
90.1,14.6,46.1,28.31,91.77,6.87,36.24,muskmelon
28.8,62.0,23.6,17.05,24.38,6.25,100.25,kidneybeans
20.0,13.2,16.5,23.98,90.48,6.17,100.69,orange
21.5,59.0,16.6,18.99,36.5,6.5,188.17,pigeonpeas
85.5,46.9,17.7,26.86,63.19,7.05,71.5,maize
81.8,58.9,43.9,23.85,79.46,6.97,168.62,jute
90.5,29.9,33.2,22.74,69.09,6.16,159.46,coffee
113.6,49.3,19.5,27.27,70.76,6.24,71.84,cotton
78.1,50.7,19.4,21.61,66.19,6.02,69.1,maize
17.3,64.2,18.7,19.36,71.98,6.56,45.71,lentil
25.6,56.6,16.5,15.05,22.42,5.95,66.71,kidneybeans
17.6,18.2,35.4,18.57,86.93,6.93,65.65,pomegranate
56.7,64.5,56.6,29.42,92.97,6.6,74.6,papaya
96.5,45.3,40.0,25.59,84.75,6.55,229.58,rice
24.8,60.9,17.2,31.44,51.57,6.34,141.58,pigeonpeas
101.4,17.3,50.5,28.44,90.65,6.72,26.64,muskmelon
28.6,39.8,23.2,28.81,76.17,7.43,46.17,mungbean
20.9,65.5,19.1,21.35,23.0,6.11,75.47,kidneybeans
71.1,52.8,24.1,19.9,67.46,6.68,96.66,maize
91.5,43.4,43.8,26.07,86.45,6.55,160.92,jute
28.2,69.3,20.2,18.01,20.22,5.93,98.69,kidneybeans
24.4,68.6,94.7,24.5,14.47,6.33,65.27,chickpea
118.8,56.9,19.4,24.28,83.44,6.79,66.56,cotton
23.3,54.5,15.2,32.18,41.0,6.28,64.8,mothbeans
21.0,143.8,200.5,20.17,94.07,6.13,113.81,apple
65.0,49.7,53.2,23.29,92.64,6.58,108.81,papaya
10.7,12.9,41.9,21.18,88.02,6.08,99.08,pomegranate
116.2,49.2,22.9,27.58,84.93,5.52,74.21,cotton
20.4,22.1,30.5,33.41,54.01,5.75,75.26,mango
22.1,132.4,201.0,15.88,83.34,6.9,61.16,grapes
26.5,24.0,30.1,29.63,46.22,6.26,83.41,mango
103.5,22.4,29.5,19.59,50.95,6.2,179.1,coffee
104.0,27.9,32.6,24.83,61.76,6.84,164.23,coffee
127.1,49.6,20.5,28.87,71.52,6.02,81.53,cotton
17.2,41.7,18.6,28.08,56.99,4.61,40.87,mothbeans
26.0,17.7,37.2,30.06,91.15,5.73,213.59,coconut
25.5,13.4,25.1,27.4,94.69,6.54,170.13,coconut
15.7,16.5,37.4,25.17,91.75,6.9,153.69,coconut
21.3,134.4,203.1,23.45,88.72,5.77,123.25,apple
14.1,24.2,17.0,22.59,92.29,6.49,119.6,orange
27.0,28.5,32.8,31.56,45.31,6.82,60.52,mango
27.0,23.9,26.5,32.48,52.03,6.69,85.16,mango
14.6,17.1,16.7,29.09,91.23,6.97,121.42,orange
105.7,71.9,46.9,30.04,82.25,6.66,97.05,banana
24.5,141.1,194.5,21.42,94.06,6.67,129.29,apple
26.0,134.3,191.0,16.16,82.98,6.27,61.59,grapes
47.7,79.6,15.5,25.97,70.81,6.42,65.53,blackgram
29.3,68.1,18.0,15.54,21.5,6.29,95.35,kidneybeans
16.0,136.9,192.6,18.45,80.31,6.27,75.37,grapes
137.1,41.4,17.7,25.29,73.65,5.69,94.3,cotton
16.9,73.0,16.0,23.61,65.34,6.68,47.01,lentil
110.0,70.3,53.7,27.68,78.43,5.68,116.37,banana
18.5,50.6,22.5,26.19,41.5,4.76,55.15,mothbeans
21.8,136.2,204.3,23.18,85.4,5.93,114.12,apple
63.5,50.8,40.0,25.63,88.53,6.03,188.67,jute
28.2,79.1,18.4,21.05,60.11,6.52,64.76,lentil
107.3,16.8,35.4,25.32,50.86,6.68,170.73,coffee
12.6,16.4,12.8,29.73,89.74,6.53,110.83,orange
17.2,74.0,20.0,26.21,62.2,6.47,46.99,lentil
52.7,74.0,21.8,28.01,62.76,7.13,74.22,blackgram
96.3,77.8,46.8,30.41,78.97,5.82,116.9,banana
19.5,70.0,18.0,17.1,23.2,5.55,105.14,kidneybeans
19.3,10.2,32.9,21.44,94.51,6.08,66.83,pomegranate
90.3,37.6,37.3,24.97,73.4,6.49,173.57,jute
69.9,46.8,45.7,25.61,94.71,6.98,112.04,papaya
25.1,76.5,24.6,23.66,62.76,5.66,64.39,lentil
27.7,24.9,32.6,27.42,86.86,5.51,180.91,coconut
16.1,65.2,18.1,19.74,22.24,5.86,70.89,kidneybeans
29.4,59.9,24.5,21.96,22.98,6.48,88.48,kidneybeans
27.7,36.1,22.3,27.41,51.96,6.36,48.3,mothbeans
66.6,69.7,58.1,34.97,87.45,6.84,130.53,papaya
41.5,73.1,76.4,22.66,19.98,6.16,78.33,chickpea
94.0,17.6,46.6,29.37,66.31,6.11,49.36,watermelon
16.1,29.3,28.3,36.22,49.26,6.98,82.16,mango
25.0,21.1,29.2,34.31,47.42,5.76,81.19,mango
77.4,42.4,23.2,25.19,68.89,6.18,89.51,maize
101.5,73.8,51.7,26.71,80.86,6.26,116.74,banana
67.3,35.5,36.1,23.67,81.48,5.94,211.19,rice
16.2,59.8,16.6,33.88,64.43,6.09,56.49,mothbeans
27.8,138.9,199.2,21.46,87.1,6.51,114.59,apple
21.4,71.8,17.8,17.14,23.52,5.95,99.92,kidneybeans
19.0,71.8,15.5,19.02,60.06,7.0,64.07,lentil
26.3,73.9,84.2,23.74,22.01,7.55,86.25,chickpea
15.1,59.2,22.1,19.66,24.76,6.26,107.54,kidneybeans
137.1,37.4,18.7,27.67,73.39,6.48,66.57,cotton
21.8,69.9,23.7,31.25,33.71,5.73,194.47,pigeonpeas
24.7,63.9,90.7,21.43,14.06,7.52,61.41,chickpea
35.5,71.3,78.0,17.49,22.59,6.92,62.33,chickpea
108.1,16.1,50.2,28.34,89.48,6.78,32.9,muskmelon
26.7,141.8,193.2,15.84,82.41,6.51,76.58,grapes
21.8,78.6,21.8,20.71,62.82,5.96,42.79,lentil
18.3,145.0,192.6,23.09,87.23,5.61,126.25,apple
29.5,44.4,15.6,27.38,82.59,6.24,56.45,mungbean
16.4,79.3,17.3,22.26,40.64,5.85,100.15,pigeonpeas
41.9,79.9,82.4,20.59,21.94,7.77,83.72,chickpea
109.7,47.3,15.7,22.28,77.03,6.1,65.48,cotton
33.4,60.4,75.2,18.93,24.73,7.6,98.38,chickpea
32.3,74.3,21.5,20.12,60.66,6.31,128.25,pigeonpeas
21.8,120.8,196.0,20.71,84.77,6.52,76.38,grapes
29.3,123.2,200.5,22.02,85.26,6.7,125.56,apple
25.3,56.7,16.7,20.99,19.59,6.34,73.96,kidneybeans
51.5,76.1,18.6,31.87,64.69,6.09,81.05,blackgram
40.1,59.2,24.8,33.53,67.47,6.9,66.82,blackgram
15.6,76.0,15.1,27.85,63.96,6.16,123.5,pigeonpeas
101.0,26.4,32.3,20.01,52.49,6.35,156.88,coffee
27.4,65.4,17.6,25.8,70.04,6.17,54.64,lentil
101.1,37.3,21.9,25.43,82.97,6.54,60.32,cotton
22.5,13.7,16.5,28.68,89.29,6.66,101.97,orange
16.7,22.6,38.6,24.99,87.87,5.92,46.98,pomegranate
16.5,20.5,12.7,28.1,92.26,6.47,124.87,orange
22.9,128.0,191.1,23.58,93.03,5.68,123.3,apple
26.6,40.9,21.8,29.66,63.23,5.27,41.65,mothbeans
96.8,20.7,34.8,18.76,62.07,6.93,192.52,coffee
17.6,63.4,15.2,21.6,68.25,6.43,59.9,lentil
79.2,38.1,17.4,26.88,57.85,6.5,90.91,maize
62.7,52.5,18.5,23.59,55.91,7.02,108.67,maize
10.6,12.9,38.0,24.54,93.35,6.76,57.74,pomegranate
109.7,23.2,54.0,29.61,88.45,6.89,29.37,muskmelon
92.6,37.4,23.9,22.93,71.35,6.43,92.18,maize
24.7,44.5,15.5,29.2,88.54,6.57,45.41,mungbean
85.1,36.8,36.9,24.69,71.56,6.19,195.56,jute
75.8,57.7,22.0,19.39,71.32,6.11,71.19,maize
15.9,59.7,15.3,24.69,70.85,5.7,65.08,lentil
38.6,60.1,94.2,19.94,17.6,6.3,72.22,chickpea
21.5,49.9,15.8,31.58,86.33,6.88,60.71,mungbean
17.6,15.6,31.3,27.1,91.57,6.88,170.06,coconut
28.5,16.6,28.5,27.88,92.16,5.66,157.05,coconut
101.0,37.2,17.9,29.78,78.38,6.06,95.55,cotton
22.5,62.1,16.3,19.41,18.38,6.25,75.88,kidneybeans
25.7,60.3,87.2,20.29,23.24,7.8,74.14,chickpea
15.0,52.8,18.6,26.54,40.32,5.58,61.28,mothbeans
97.7,23.2,36.1,24.05,57.84,6.12,189.04,coffee
34.3,64.6,18.5,29.32,71.73,6.73,83.82,blackgram
117.8,42.7,21.1,23.48,79.4,5.76,62.55,cotton
67.0,62.4,19.2,21.45,65.38,5.87,68.31,maize
15.0,56.8,22.9,30.27,58.76,4.8,51.46,mothbeans
16.3,79.6,21.7,20.57,68.79,5.66,68.98,lentil
16.8,65.5,22.5,15.5,18.56,5.85,107.09,kidneybeans
93.4,93.3,46.8,26.52,79.07,6.0,137.68,banana
104.4,12.9,49.4,24.57,60.84,6.74,47.73,watermelon
27.7,133.1,200.4,23.83,82.48,6.31,75.07,grapes
23.7,78.2,20.0,25.59,66.69,6.56,61.96,lentil
41.9,77.4,20.3,32.07,63.78,6.67,63.7,blackgram
70.0,42.3,45.1,21.6,76.15,5.93,166.12,rice
21.2,14.1,31.8,19.76,94.21,6.37,75.01,pomegranate
29.0,15.1,36.2,36.03,46.4,5.64,76.98,mango
24.8,22.6,30.6,31.12,87.13,5.99,145.07,coconut
130.6,57.4,22.9,23.56,79.0,6.0,60.37,cotton
16.3,40.3,22.5,24.51,52.31,5.38,48.36,mothbeans
29.6,51.1,24.3,27.12,86.73,7.15,57.29,mungbean
27.8,76.6,19.1,24.86,62.16,5.51,40.6,lentil
25.9,130.9,199.5,18.41,81.51,6.58,69.96,grapes
18.6,72.3,17.1,23.49,61.35,5.81,150.78,pigeonpeas
99.9,71.1,50.0,28.27,76.68,6.49,149.1,banana
80.8,45.1,23.3,21.88,59.97,6.66,95.34,maize
103.3,76.4,46.9,29.02,75.0,6.55,94.75,banana
98.9,25.0,53.4,31.25,93.23,6.1,28.41,muskmelon
15.8,132.9,197.6,16.5,80.52,6.12,62.02,grapes
24.6,60.9,22.1,25.86,61.9,6.8,57.81,lentil
105.3,16.6,52.2,27.09,58.17,6.63,59.52,watermelon
110.1,94.3,46.8,28.58,79.24,6.08,105.25,banana
23.4,136.3,192.3,22.59,86.83,6.48,110.17,apple
26.0,19.5,32.0,32.99,46.71,6.61,72.11,mango
19.9,51.6,20.6,27.43,43.36,4.69,60.79,mothbeans
113.4,73.3,51.0,25.21,79.98,5.7,100.98,banana
19.8,15.8,22.5,31.5,93.06,6.57,123.66,orange
14.4,14.8,16.6,25.07,94.85,7.22,104.94,orange
25.1,144.0,193.8,23.5,94.24,6.37,127.94,apple
63.3,45.8,43.3,25.37,86.59,6.73,160.47,jute
17.7,25.7,30.8,31.02,52.83,6.94,65.07,mango
81.3,46.2,42.7,25.08,89.64,6.27,182.3,rice
28.3,125.5,197.0,19.7,84.37,6.76,70.26,grapes
29.8,65.3,88.9,17.03,20.82,6.71,91.77,chickpea
34.4,63.1,49.0,32.84,94.96,6.08,92.03,papaya
92.4,42.6,21.8,24.84,66.91,6.46,80.59,maize
105.4,19.9,49.1,31.27,86.63,7.0,26.78,muskmelon
45.7,59.7,49.1,25.1,92.75,6.95,51.05,papaya
62.9,37.2,41.5,25.43,85.81,6.92,169.42,jute
85.0,38.5,24.4,23.65,61.7,5.99,99.7,maize
16.5,143.3,195.6,20.32,88.87,6.28,115.41,apple
25.0,58.8,20.7,21.88,62.25,6.37,159.28,pigeonpeas
90.6,18.5,36.4,23.86,65.65,6.75,152.53,coffee
17.6,128.9,194.4,22.46,94.03,6.75,119.61,apple
21.4,24.1,31.4,27.51,89.41,6.28,193.2,coconut
15.2,69.2,24.3,23.99,72.34,5.52,56.26,lentil
26.2,24.3,37.0,31.32,52.86,6.19,97.64,mango
97.4,20.8,50.5,27.96,90.66,6.37,39.04,muskmelon
65.2,46.4,37.7,24.76,71.89,6.43,199.16,jute
105.7,48.9,16.8,22.31,70.54,6.75,83.66,cotton
11.8,20.3,16.1,24.06,89.03,6.11,120.86,orange
23.2,24.1,41.1,18.61,91.69,6.12,70.3,pomegranate
43.8,58.8,22.3,31.0,70.97,7.15,89.26,blackgram
87.4,34.9,48.2,25.76,89.25,6.59,211.34,rice
19.3,55.1,25.0,24.3,62.43,5.75,64.33,mothbeans
108.0,24.2,49.0,26.52,88.74,6.33,27.64,muskmelon
96.6,18.9,53.7,24.38,60.78,6.16,53.91,watermelon
20.6,78.1,20.4,20.43,70.54,6.49,69.67,lentil
21.7,59.8,21.9,21.06,50.84,5.9,166.2,pigeonpeas
27.8,126.0,203.1,15.19,83.66,6.93,73.14,grapes
17.2,43.6,23.6,25.55,42.07,5.47,47.56,mothbeans
23.2,11.2,40.6,24.44,87.71,6.06,77.67,pomegranate
93.4,58.4,44.9,24.98,89.82,6.16,162.68,jute
97.0,12.7,51.5,27.71,62.43,6.43,59.12,watermelon
104.7,24.7,38.8,21.81,65.3,6.6,196.35,coffee
74.9,39.9,36.1,26.7,85.4,6.97,188.67,jute
22.1,130.4,202.6,20.92,85.06,6.35,106.07,apple
80.9,48.5,40.2,23.04,70.03,6.1,155.08,jute
21.8,22.3,14.4,25.4,94.36,6.25,101.26,orange
18.5,19.0,25.6,28.23,54.86,5.97,64.61,mango
24.6,72.4,20.1,17.14,19.49,5.53,75.2,kidneybeans
92.1,20.0,47.9,25.59,69.05,6.02,48.76,watermelon
38.0,79.8,15.4,28.65,43.01,6.09,175.43,pigeonpeas
133.4,42.6,19.7,28.99,70.79,6.83,68.77,cotton
10.8,10.2,10.3,22.08,86.1,6.36,106.64,orange
94.3,17.7,52.4,28.45,68.94,6.38,49.27,watermelon
99.0,15.8,49.3,31.85,85.89,6.92,32.2,muskmelon
108.0,37.8,23.4,24.07,74.27,6.94,75.16,cotton
27.6,66.8,24.8,19.44,18.88,6.18,76.26,kidneybeans
34.9,67.4,94.8,18.09,21.65,6.81,77.13,chickpea
54.6,71.1,22.2,34.77,65.66,7.2,73.04,blackgram
19.9,63.7,21.0,20.47,60.4,6.6,58.77,lentil
87.6,57.4,42.0,26.68,75.81,6.3,189.15,jute
14.8,11.4,36.4,18.9,94.48,6.21,58.79,pomegranate
92.8,17.7,47.4,26.29,85.65,6.76,31.41,muskmelon
16.1,11.4,33.7,25.36,88.37,6.63,159.43,coconut
104.3,86.1,45.4,28.73,82.78,6.15,111.45,banana
108.8,10.8,45.1,29.63,87.89,6.25,29.96,muskmelon
100.0,90.4,45.4,30.22,80.13,6.02,119.83,banana
73.6,56.7,15.7,20.84,65.79,6.91,75.94,maize
22.4,66.8,19.9,25.62,72.48,6.11,50.0,lentil
20.2,137.8,195.5,23.33,82.27,6.72,62.15,grapes
115.5,22.7,35.6,19.93,63.77,6.27,191.6,coffee
23.8,60.6,80.0,23.8,20.17,7.05,64.59,chickpea
17.7,44.8,24.5,25.99,86.45,6.16,64.53,mungbean
18.0,57.4,16.7,26.31,72.32,6.03,59.67,lentil
48.6,78.0,19.2,28.42,74.42,6.67,74.67,blackgram
107.4,92.6,48.2,29.02,76.88,6.31,110.19,banana
71.6,38.5,36.6,26.2,87.46,6.41,158.48,jute
30.0,26.3,34.7,30.55,45.49,5.55,82.17,mango
27.4,44.9,16.6,31.38,49.01,5.84,46.77,mothbeans
27.7,45.8,18.8,33.15,46.28,6.19,52.1,mothbeans
104.2,24.3,47.4,29.97,62.81,6.27,55.53,watermelon
35.1,73.5,20.5,33.84,68.31,6.8,65.86,blackgram
19.4,15.6,12.1,29.09,93.55,7.03,100.54,orange
98.4,16.6,51.3,30.2,55.51,6.59,43.73,watermelon
21.4,128.3,191.4,22.25,89.79,5.64,118.37,apple
24.1,129.2,196.2,23.33,88.1,6.73,105.39,apple
96.0,28.3,29.8,18.13,66.87,6.94,182.78,coffee
47.3,71.5,15.4,28.68,74.69,6.63,75.06,blackgram
104.4,21.1,45.5,25.77,59.11,6.55,42.89,watermelon
114.4,56.6,19.2,29.33,77.47,6.1,90.02,cotton
71.5,53.5,24.8,23.69,60.2,6.69,87.0,maize
54.3,76.6,21.0,32.01,64.28,6.95,73.67,blackgram
17.0,121.2,201.6,20.71,83.8,6.15,71.44,grapes
42.7,61.2,80.4,23.08,18.95,7.55,62.61,chickpea
18.3,127.0,196.7,16.71,84.37,6.7,61.7,grapes
17.6,19.0,35.7,27.22,90.4,6.54,172.13,coconut
104.3,94.8,52.7,26.26,80.01,5.8,114.57,banana
19.4,36.9,16.7,25.89,76.85,6.78,46.15,mungbean
16.9,49.5,21.9,31.01,58.84,6.25,52.5,mothbeans
130.2,58.3,17.2,28.69,80.35,6.8,91.88,cotton
25.5,62.5,16.1,20.47,22.51,5.55,78.0,kidneybeans
120.6,36.6,18.6,26.81,78.34,6.11,77.16,cotton
92.1,17.4,52.7,25.77,59.04,6.24,59.83,watermelon
16.0,24.3,29.2,27.67,85.92,5.67,202.67,coconut
16.5,120.4,192.4,24.96,80.9,6.5,76.97,grapes
25.6,121.2,196.1,22.82,87.27,6.53,118.92,apple
62.7,52.5,47.2,25.72,89.69,6.42,71.78,papaya
81.7,38.6,41.8,20.21,75.56,6.73,186.02,rice
102.5,10.1,46.9,24.8,60.45,6.5,40.87,watermelon
119.8,15.2,33.1,23.74,68.28,6.51,177.19,coffee
